RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Raalte;G0177;10279;Zwolle;K4;28613;14777;47;40;14690;2339;5531;1494;1006;1272;1332;503;324;197;426;60;;;;;;;;;;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reimerswaal;G0703;10077;Middelburg;K16;15415;9987;22;12;9953;910;1115;271;979;595;537;91;671;;160;3858;;;;;;;;;;;;;;;;92;603;;;;;;;;;;71;;;;;;;;;;;;;;;
Renkum;G0274;11325;Arnhem;K7;24825;14150;32;32;14086;2573;1697;2638;1032;1260;1506;1236;429;663;502;131;;;;;;;;;;;;;220;54;;;;15;;;;;;;54;;;30;;16;;21;;;;;;;9;;;
Renswoude;G0339;10269;Utrecht;K8;3590;2150;1;1;2148;339;684;61;167;68;39;16;187;33;37;500;;;;;;;;;;;;;;;;;;5;;;;6;;6;;;;;;0;;;;;;;;;;;;
Reusel-De Mierden;G1667;10162;'s-Hertogenbosch;K18;10003;4234;9;11;4214;724;995;330;522;647;372;108;;117;252;;31;;;;99;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;6;2;;;;
Rheden;G0275;11355;Arnhem;K7;34885;18024;51;53;17920;2922;2146;2648;1780;2779;1992;1260;543;807;445;114;;;;;;;;;;;;;121;77;;;;22;;;;;;;117;;;73;;27;;28;;;;;;;19;;;
Rhenen;G0340;10309;Utrecht;K8;14650;8143;18;26;8099;1160;1058;846;885;464;541;311;511;236;230;1786;;;;;;;;;;;;;;;;;;9;;;;40;;18;;;;;;4;;;;;;;;;;;;
Ridderkerk;G0597;10646;Dordrecht;K14;36101;16594;46;42;16506;2079;1921;1222;2730;1515;1421;368;1217;598;836;2329;;;;;;;;;;;;163;;;41;;;14;;;;;;50;;;;;;2;;;;;;;;;;;;
Rijnwaarden;G0196;10819;Arnhem;K7;8594;3467;8;14;3445;493;611;361;634;477;312;86;28;133;150;6;;;;;;;;;;;;;45;62;;;;6;;;;;;;14;;;16;;3;;7;;;;;;;1;;;
Rijssen-Holten;G1742;10358;Zwolle;K4;27851;17003;47;22;16934;1616;3116;759;1199;701;1019;247;2306;148;275;5228;;;;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijswijk;G0603;11133;Dordrecht;K14;37288;18005;65;106;17834;3276;1929;2488;3201;1754;1790;971;382;770;882;120;;;;;;;;;;;;129;;;63;;;28;;;;;;39;;;;;;12;;;;;;;;;;;;
Roerdalen;G1669;10196;Venlo;K191;16488;7740;17;27;7696;898;1840;538;1547;972;422;244;;194;460;;;;;;;;;427;122;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;
Roermond;G0957;11313;Venlo;K191;43748;19020;63;89;18868;1829;2889;1917;2863;2327;1116;1103;;519;514;;;;;;;;;3311;231;;;;;;;;;;;;;;;;;;;;;;;;;249;;;;;;;;
Roosendaal;G1674;10407;Tilburg;K17;58690;24048;77;73;23898;4219;3609;2564;4003;3541;2008;820;;732;1369;;272;;;;680;;;;;;;;;;;;;36;;;;;;27;;;;;;;;;;;;;12;6;;;;
Rotterdam;G0599;10345;Rotterdam;K13;448034;157438;1041;748;155649;22203;12219;23006;25870;20105;18835;10160;4757;7945;6083;2079;;;;;;;;;;;;1535;;;441;;;411;;;;;;;;;;;;;;;;;;;;;;;;
Rozendaal;G0277;10684;Arnhem;K7;1154;869;2;0;867;324;111;174;46;29;51;49;22;30;13;5;;;;;;;;;;;;;2;1;;;;3;;;;;;;2;;;4;;0;;1;;;;;;;0;;;
